labels	source	f	m	kw_s	kw_f	kw_m	data_split
HEAD;SUBJ;FAM;PPA;ANAN;PLUR	Loving couple walking on the sand near the water.	Pareja de enamoradas caminando en la arena cerca del agua.	Pareja de enamorados caminando en la arena cerca del agua.	loving [couple]	[pareja] de enamoradas	[pareja] de enamorados	test
FRAG;SUBJ;OTH;PLUR	And we citizens must also rise to the occasion.	Y nosotras las ciudadanas también tenemos que estar a la altura de la ocasión.	Y nosotros los ciudadanos también tenemos que estar a la altura de la ocasión.	we [citizens]	nosotras las [ciudadanas]	nosotros los [ciudadanos]	test
SUBJ;PROF	Your employer should make the usual deductions - for example, for taxes.	Su patrona debe tomar cualquier deducción típica, por ejemplo, para los impuestos.	Su patrón debe tomar cualquier deducción típica, por ejemplo, para los impuestos.	employer	patrona	patrón	test
SUBJ;PROF;PLUR	Pharmacists must therefore come to grips with the question of self-medication and bring their knowledge to bear in consultations on the choice of treatment with so-called gentle medicines.	Por consiguiente, las farmaceutas deben participar en las cuestiones y aportar sus conocimientos en las deliberaciones sobre la elección de un tratamiento con medicamentos suaves.	Por consiguiente, los farmaceutas deben participar en las cuestiones y aportar sus conocimientos en las deliberaciones sobre la elección de un tratamiento con medicamentos suaves.	pharmacists	las [farmaceutas]	los [farmaceutas]	test
SUBJ;DROP;APRD;PPA	Listened to the symphony self-absorbed, after so long of not being able to attend a live event.	Escuchó la sinfonía ensimismada después de tanto tiempo sin poder asistir a un evento en vivo.	Escuchó la sinfonía ensimismado después de tanto tiempo sin poder asistir a un evento en vivo.	(She/he)=self-absorbed	(ella)=ensimismada	(él)=ensimismado	test
SUBJ;NAT;PLUR	Throughout history, natives have referred to water as an element.	A lo largo de la historia, las nativas se han referido al agua como a un elemento.	A lo largo de la historia, los nativos se han referido al agua como a un elemento.	natives	las [nativas]	los [nativos]	test
SUBJ;PROF	My captain and my best cop aren't getting along.	Mi capitana y mi mejor policía no se llevan bien.	Mi capitán y mi mejor policía no se llevan bien.	captain	capitana	capitán	test
SUBJ;OTH	Each gifted often carries a camera, pointed at his or her own face.	Cada dotada a menudo lleva una cámara, apuntando a su propio rostro.	Cada dotado a menudo lleva una cámara, apuntando a su propio rostro.	gifted	dotada	dotado	test
SUBJ;OTH	The Thai owner of the restaurant has been away from her native country for more than 20 years, her customers come every week and always orders the special of the day.	La dueña tailandesa del restaurante lleva fuera de su país natal más de 20 años, sus clientas vienen cada semana y piden siempre el especial del día.	La dueña tailandesa del restaurante lleva fuera de su país natal más de 20 años, sus clientes vienen cada semana y piden siempre el especial del día.	clients	clientas	clientes	test
SUBJ;PROF	Ready to publish: The teacher in charge is happy with the grade, but is waiting to give students access to the grade.	Listo para publicarse: La profesora a cargo está conforme con la calificación, pero está esperando para dar acceso a los estudiantes a la calificación.	Listo para publicarse: El profesor a cargo está conforme con la calificación, pero está esperando para dar acceso a los estudiantes a la calificación.	teacher	la [profesora]	el [profesor]	test
DOBJ;PROF	And there's a plumber in the lobby who can help us.	Y hay una plomera en el lobby que puede ayudarnos.	Y hay un plomero en el lobby que puede ayudarnos.	plumber	una [plomera]	un [plomero]	test
SUBJ;PROF	The monkey tamer was saying it was leaving the tour.	La amaestradora de monos estaba diciendo que dejaba la gira.	El amaestrador de monos estaba diciendo que dejaba la gira.	monkey [tamer]	la [amaestradora] de monos	el [amaestrador] de monos	test
SUBJ;FAM	Some kid will enter the contest.	Alguna niña se presentará al concurso.	Algún niño se presentará al concurso.	some [kid]	alguna [niña]	algún [niño]	test
IOBJ;PROF;PLUR	She accepted the proposal and showed the ring to all the videographers working the event.	Ella aceptó la propuesta y mostró el anillo a todas las camarógrafas trabajando en el evento.	Ella aceptó la propuesta y mostró el anillo a todos los camarógrafos trabajando en el evento.	all the [videographers]	todas las [camarógrafas]	todos los [camarógrafos]	test
FRAG;SUBJ;PROF;PLUR	Contrary to what was said, the ambassadors do coordinate their activities;	Al contrario de lo que se ha dicho, las embajadoras cuentan con una verdadera coordinación;	Al contrario de lo que se ha dicho, los embajadores cuentan con una verdadera coordinación;	ambassadors	las [embajadoras]	los [embajadores]	test
SUBJ;FAM	The kid is crying bitterly and non stop due to the pain.	La niña está llorando amargamente y sin parar debido al dolor.	El niño está llorando amargamente y sin parar debido al dolor.	kid	la [niña]	el [niño]	test
SUBJ;PROF;AATR;PPA	The driver was forced to get off the freeway because the traffic ahead.	La conductora estuvo forzada a salirse de la autopista debido al tráfico más adelante.	El conductor estuvo forzado a salirse de la autopista debido al tráfico más adelante.	driver=forced	la [conductora]=forzada	el [conductor]=forzado	test
SUBJ;DROP;APRD	Make yourself comfortable and lie down on the stretcher.	Póngase cómoda y recuéstese sobre la camilla.	Póngase cómodo y recuéstese sobre la camilla.	(you)=comfortable	(usted)=cómoda	(usted)=cómodo	test
SUBJ;FAM;PPA	This fully animated and interactive speaking friend shows personality in everything said and done.	Esta amiga hablante totalmente animada e interactiva muestra personalidad en todo lo dicho o hecho.	Este amigo hablante totalmente animado e interactivo muestra personalidad en todo lo dicho o hecho.	this fully animated=interactive speaking [friend]	esta [amiga] hablante totalmente animada=interactiva	este [amigo] hablante totalmente animado=interactivo	test
SUBJ;PROF;PLUR	Lawyers must prove capable of recognizing the fact that the principle which ultimately governs acceptance of a case is the ethical obligation not to participate in a lawsuit, not to give advice, without sufficient knowledge.	Las abogadas han de ser capaces de asumir que, en última instancia, el criterio que gobierna la aceptación de un asunto es la obligación deontológica de no intervenir en un pleito, de no dar un consejo, sin los conocimientos suficientes.	Los abogados han de ser capaces de asumir que, en última instancia, el criterio que gobierna la aceptación de un asunto es la obligación deontológica de no intervenir en un pleito, de no dar un consejo, sin los conocimientos suficientes.	lawyers	las [abogadas]	los [abogados]	test
SUBJ;POSS;POSC;OTH;PLUR	Our citizens would not understand why there could not be more active cooperation in a Union policy constructed by democratic countries or why every possible effort might not be made to fight terrorism actively and firmly.	Nuestras ciudadanas no entenderían que una Unión política compuesta por países democráticos no cooperase más activamente, no hiciera todos los esfuerzos posibles para, a partir de las premisas democráticas, luchar activa y fuertemente contra el terrorismo.	Nuestros ciudadanos no entenderían que una Unión política compuesta por países democráticos no cooperase más activamente, no hiciera todos los esfuerzos posibles para, a partir de las premisas democráticas, luchar activa y fuertemente contra el terrorismo.	our [citizens]	nuestras [ciudadanas]	nuestros [ciudadanos]	test
DOBJ;OTH	At his school, no student was allowed to be late for class, professors lectured without pay and cancellation of classes by an instructor was punishable by a fine.	En su colegio, a ninguna alumna se le permitió llegar tarde a clase, profesores disertaron sin pago y la cancelación de clases por un instructor se castigaba con una multa.	En su colegio, a ningún alumno se le permitió llegar tarde a clase, profesores disertaron sin pago y la cancelación de clases por un instructor se castigaba con una multa.	no [student]	ninguna [alumna]	ningún [alumno]	test
SUBJ;PROF;AATR;PPA	The director was transferred to a new department.	La directora fue trasladada a un departamento nuevo.	El director fue trasladado a un departamento nuevo.	director=transferred	la [directora]=trasladada	el [director]=trasladado	test
QUES;SUBJ;PROF;PLUR	Do your employees secretly have projects where they work independently during working hours?	¿Tienen sus empleadas secretamente proyectos en los que trabajan independientemente durante el horario laboral?	¿Tienen sus empleados secretamente proyectos en los que trabajan independientemente durante el horario laboral?	employees	empleadas	empleados	test
SCMP;PPA;SUBJ;PROF	I hope that the honourable Member who suggested that we should consider cutting off all humanitarian aid will come to some sense.	Espero que la distinguida diputada que ha sugerido que deberíamos plantearnos la posibilidad de suprimir toda ayuda humanitaria recapacite al respecto.	Espero que el distinguido diputado que ha sugerido que deberíamos plantearnos la posibilidad de suprimir toda ayuda humanitaria recapacite al respecto.	honourable [member]	la distinguida [diputada]	el distinguido [diputado]	test
SUBJ;PROF	The seller offered me additional products in exchange for a positive review, that is not correct or legal.	La vendedora me ofreció productos adicionales a cambio de una reseña positiva, eso no es correcto ni legal.	El vendedor me ofreció productos adicionales a cambio de una reseña positiva, eso no es correcto ni legal.	seller	la [vendedora]	el [vendedor]	test
SUBJ;PROF;OTH;PLUR;PPA;AATR	Farmers and consumers are deeply disappointed at the ineptitude of the British administration!	Las agricultoras y las consumidoras están profundamente decepcionadas por la incapacidad de la Administración británica.	Los agricultores y los consumidores están profundamente decepcionados por la incapacidad de la Administración británica.	farmers=consumers=disappointed	las [agricultoras]=las [consumidoras]=decepcionadas	los [agricultores]=los [consumidores]=decepcionados	test
IOBJ	The bartender says, "No cost to you, gorgeous."	El barman le dice, "Para ti, sin costo, preciosa".	El barman le dice, "Para ti, sin costo, precioso".	you=gorgeous	ti=preciosa	ti=precioso	test
SCMP;SUBJ;OTH	If you discover a competitor has applied to register, or has registered, a mark that is similar or identical to your own, you can enforce your earlier right and oppose or cancel the trade mark registration.	Si descubre que una competidora ha solicitado el registro o ha registrado una marca similar o idéntica a la suya, podrá proteger su derecho anterior y oponerse o anular el registro de la marca.	Si descubre que un competidor ha solicitado el registro o ha registrado una marca similar o idéntica a la suya, podrá proteger su derecho anterior y oponerse o anular el registro de la marca.	competitor	una [competidora]	un [competidor]	test
SUBJ;OTH;PLUR;APRD;PPA;PLUR	But if the latter is true and no action is taken, then citizens will be frustrated and angry.	Pero si lo segundo es verdad y no se toman acciones, entonces las ciudadanas se verán frustradas y se enfadarán.	Pero si lo segundo es verdad y no se toman acciones, entonces los ciudadanos se verán frustrados y se enfadarán.	citizens=frustrated	las [ciudadanas]=frustradas	los [ciudadanos]=frustrados	test
QUES;SCMP;SUBJ;DROP;SCMP;RSCMP;PROF	Everything is cool because you're a skateboarder, huh?	¿Todo está bien porque eres una patinadora?	¿Todo está bien porque eres un patinador?	you=skateboarder	(tú)=una [patinadora]	(tú)=un [patinador]	test
