labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;DOBJ;FAM;ANAN;DFCL;IPRO	Someone who thinks that it is normal to beat up their better half should be in prison or in a mental institution.	Quelqu’une qui pense qu’il est normal de battre son épouse devrait être en prison ou dans un établissement psychiatrique.	Quelqu’une qui pense qu’il est normal de battre son époux devrait être en prison ou dans un établissement psychiatrique.	Quelqu’un qui pense qu’il est normal de battre son épouse devrait être en prison ou dans un établissement psychiatrique.	Quelqu’un qui pense qu’il est normal de battre son époux devrait être en prison ou dans un établissement psychiatrique.	someone;half	quelqu’une;épouse	quelqu’un;époux
APRD;SUBJ;SCMP;FAM;DFCL;IPRO	Someone who is a secret admirer is too shy to show adoration, fondness or love.	Quelqu’une qui est une admiratrice secrète est trop timide pour montrer de l’adoration, de l’affection ou de l’amour.	Quelqu’une qui est un admirateur secret est trop timide pour montrer de l’adoration, de l’affection ou de l’amour.	Quelqu’un qui est une admiratrice secrète est trop timide pour montrer de l’adoration, de l’affection ou de l’amour.	Quelqu’un qui est un admirateur secret est trop timide pour montrer de l’adoration, de l’affection ou de l’amour.	someone;secret [admirer]	quelqu’une;une [admiratrice] secrète	quelqu’un;un [admirateur] secret
SUBJ;NAT;OPRP;GLNK	A southerner speaks differently, compared to a northerner.	Une sudiste parle différemment, par rapport à une nordiste.	Une sudiste parle différemment, par rapport à un nordiste.	Un sudiste parle différemment, par rapport à une nordiste.	Un sudiste parle différemment, par rapport à un nordiste.	southerner;northerner	une [sudiste];une [nordiste]	un [sudiste];un [nordiste]
OTH;SUBJ;IOBJ;REL	The sovereign asked the seer how to form an alliance quickly.	La souveraine a demandé à la prophétesse comment former une alliance rapidement.	La souveraine a demandé au prophète comment former une alliance rapidement.	Le souverain a demandé à la prophétesse comment former une alliance rapidement.	Le souverain a demandé au prophète comment former une alliance rapidement.	sovereign;seer	la [souveraine];à la [prophétesse]	le [souverain];au [prophète]
PLUR;DOBJ;APPS;DFCL;NAT;DEMO	Reporters Without Borders urges the Spaniard to pursue their investigations in order to identify those responsible for the threats and to establish their motives.	Reporters Sans Frontières exhorte les Espagnoles à poursuivre leurs investigations afin d’identifier celles responsables des menaces et d’établir leurs mobiles.	Reporters Sans Frontières exhorte les Espagnoles à poursuivre leurs investigations afin d’identifier ceux responsables des menaces et d’établir leurs mobiles.	Reporters Sans Frontières exhorte les Espagnols à poursuivre leurs investigations afin d’identifier celles responsables des menaces et d’établir leurs mobiles.	Reporters Sans Frontières exhorte les Espagnols à poursuivre leurs investigations afin d’identifier ceux responsables des menaces et d’établir leurs mobiles.	Spaniard;those	Espagnoles;celles	Espagnols;ceux
ANAN;DOBJ;FAM;OPRP	It is sometimes hard for a stepchild to accept their stepparent.	Il est parfois difficile pour une belle-fille d’accepter sa belle-mère.	Il est parfois difficile pour une belle-fille d’accepter son beau-père.	Il est parfois difficile pour un beau-fils d’accepter sa belle-mère.	Il est parfois difficile pour un beau-fils d’accepter son beau-père.	stepchild;stepparent	une [belle-fille];sa [belle-mère]	un [beau-fils];son [beau-père]
SUBJ;PLUR;FAM;OPRP;PERS	Do your stepchildren have the permission to play with them?	Est-ce que vos belles-filles ont la permission de jouer avec elles ?	Est-ce que vos belles-filles ont la permission de jouer avec eux ?	Est-ce que vos beaux-fils ont la permission de jouer avec elles ?	Est-ce que vos beaux-fils ont la permission de jouer avec eux ?	stepchildren;them	belles-filles;elles	beaux-fils;eux
SUBJ;PLUR;ANAN;NAT;OPRP;PERS	Sub-Saharans are working with them in the search for an effective tuberculosis vaccine.	Des Subsahariennes travaillent avec elles à la recherche d’un vaccin de tuberculose efficace.	Des Subsahariennes travaillent avec eux à la recherche d’un vaccin de tuberculose efficace.	Des Subsahariens travaillent avec elles à la recherche d’un vaccin de tuberculose efficace.	Des Subsahariens travaillent avec eux à la recherche d’un vaccin de tuberculose efficace.	Sub-Saharans;them	Subsahariennes;elles	Subsahariens;eux
SUBJ;PLUR;DOBJ;FAM;IPRO	Successors should do their best to honor the first.	Les successeuses doivent faire de leur mieux pour honorer les premières.	Les successeuses doivent faire de leur mieux pour honorer les premiers.	Les successeurs doivent faire de leur mieux pour honorer les premières.	Les successeurs doivent faire de leur mieux pour honorer les premiers.	successors;first	successeuses;premières	successeurs;premiers
APRD;SUBJ;PLUR;OTH;DFCL;IMPR;PERS	If that summoner is not available, finish off before they can escape.	Si cette invocatrice n’est pas disponible, terminez avant qu’elles ne puissent échapper.	Si cette invocatrice n’est pas disponible, terminez avant qu’ils ne puissent échapper.	Si cet invocateur n’est pas disponible, terminez avant qu’elles ne puissent échapper.	Si cet invocateur n’est pas disponible, terminez avant qu’ils ne puissent échapper.	summoner;they	cette [invocatrice];elles	cet [invocateur];ils
SUBJ;PROF;DOBJ;AATR	The superintendent appointed a new principal for the school.	La rectrice a nommé une nouvelle proviseure pour l’école.	La rectrice a nommé un nouveau proviseur pour l’école.	Le recteur a nommé une nouvelle proviseure pour l’école.	Le recteur a nommé un nouveau proviseur pour l’école.	superintendent;new [principal]	la [rectrice];une nouvelle [proviseure]	le [recteur];un nouveau [proviseur]
SUBJ;PLUR;PROF;DFCL;OTH	Superiors must ensure that novices can carry out their work.	Les supérieures doivent s’assurer que les novices peuvent effectuer leur travail.	Les supérieures doivent s’assurer que les novices peuvent effectuer leur travail.	Les supérieurs doivent s’assurer que les novices peuvent effectuer leur travail.	Les supérieurs doivent s’assurer que les novices peuvent effectuer leur travail.	superiors;novices	supérieures;novices	supérieurs;novices
PROF;OPRP;IMPR;GLNK	Have confidence in your surgeon and anesthetist.	Ayez confiance en votre chirurgienne et votre anesthésiste.	Ayez confiance en votre chirurgienne et votre anesthésiste.	Ayez confiance en votre chirurgien et votre anesthésiste.	Ayez confiance en votre chirurgien et votre anesthésiste.	surgeon;anesthetist	chirurgienne;anesthésiste	chirurgien;anesthésiste
SUBJ;PLUR;ANAN;DFCL;NAT	The Swiss call it environmental taxes, while the Norwegians say green taxes.	Les Suissesses l’appellent taxes environnementales, tandis que les Norvégiennes disent taxes vertes.	Les Suissesses l’appellent taxes environnementales, tandis que les Norvégiens disent taxes vertes.	Les Suisses l’appellent taxes environnementales, tandis que les Norvégiennes disent taxes vertes.	Les Suisses l’appellent taxes environnementales, tandis que les Norvégiens disent taxes vertes.	Swiss;Norwegians	Suissesses;Norvégiennes	Suisses;Norvégiens
SUBJ;PLUR;OTH;NAT;OPRP	Can't the Syrian request the release of these netizens?	Est-ce que la Syrienne ne peut pas demander la libération de ces internautes ?	Est-ce que la Syrienne ne peut pas demander la libération de ces internautes ?	Est-ce que le Syrien ne peut pas demander la libération de ces internautes ?	Est-ce que le Syrien ne peut pas demander la libération de ces internautes ?	Syrian;netizens	la [Syrienne];internautes	le [Syrien];internautes
SUBJ;PLUR;ANAN;NAT;OPRP;IPRO	The Taiwanese got three orders from each.	Les Taïwanaises ont reçu trois commandes de chacune.	Les Taïwanaises ont reçu trois commandes de chacun.	Les Taïwanais ont reçu trois commandes de chacune.	Les Taïwanais ont reçu trois commandes de chacun.	Taiwanese;each	Taïwanaises;chacune	Taïwanais;chacun
SUBJ;PLUR;ANAN;OTH;PPA;GLNK	In other words, taxpayers and voters will not be charged.	En d’autres termes, les contribuables et les électrices ne seront pas facturées.	En d’autres termes, les contribuables et les électeurs ne seront pas facturés.	En d’autres termes, les contribuables et les électrices ne seront pas facturées.	En d’autres termes, les contribuables et les électeurs ne seront pas facturés.	taxpayers;voters	contribuables;électrices=facturées	contribuables;électeurs=facturés
SUBJ;PROF	The tester and the checker have the permission to pause and resume testing.	La testeuse et la vérificatrice ont la permission de suspendre et de reprendre les tests.	La testeuse et le vérificateur ont la permission de suspendre et de reprendre les tests.	Le testeur et la vérificatrice ont la permission de suspendre et de reprendre les tests.	Le testeur et le vérificateur ont la permission de suspendre et de reprendre les tests.	tester;checker	la [testeuse];la [vérificatrice]	le [testeur];le [vérificateur]
SUBJ;NAT;OPRP	A Texan who is working with a Ute?	Une Texane qui travaille avec une Ute ?	Une Texane qui travaille avec un Ute ?	Un Texan qui travaille avec une Ute ?	Un Texan qui travaille avec un Ute ?	Texan;Ute	une [Texane];une [Ute]	un [Texan];un [Ute]
ANAN;SUBJ;PROF;AATR;GLNK	A therapist or another guide can accompany your journey of self-discovery.	Une thérapeute ou une autre guide peut accompagner votre voyage de découverte personnelle.	Une thérapeute ou un autre guide peut accompagner votre voyage de découverte personnelle.	Un thérapeute ou une autre guide peut accompagner votre voyage de découverte personnelle.	Un thérapeute ou un autre guide peut accompagner votre voyage de découverte personnelle.	therapist;guide	une [thérapeute];une=guide	un [thérapeute];un=guide
SUBJ;PLUR;PROF;ANAN;DFCL;PERS	They are facing what analysts call a collective action problem.	Elles font face à ce que les analystes appellent un problème d’action collective.	Elles font face à ce que les analystes appellent un problème d’action collective.	Ils font face à ce que les analystes appellent un problème d’action collective.	Ils font face à ce que les analystes appellent un problème d’action collective.	they;analysts	elles;analystes	ils;analystes
SUBJ;PLUR;PROF;DOBJ;PERS	They will recruit more talented intellectuals, to continue to grow and be successful.	Elles vont recruter des intellectuelles plus talentueuses, pour continuer à grandir et à réussir.	Elles vont recruter des intellectuels plus talentueux, pour continuer à grandir et à réussir.	Ils vont recruter des intellectuelles plus talentueuses, pour continuer à grandir et à réussir.	Ils vont recruter des intellectuels plus talentueux, pour continuer à grandir et à réussir.	they;talented [intellectuals]	elles;intellectuelles=talentueuses	ils;intellectuels=talentueux
PLUR;SUBJ;IOBJ;PROF	They provide information to enable capitalists to build up their money.	Elles fournissent des informations pour permettre aux capitalistes d’accumuler leur argent.	Elles fournissent des informations pour permettre aux capitalistes d’accumuler leur argent.	Ils fournissent des informations pour permettre aux capitalistes d’accumuler leur argent.	Ils fournissent des informations pour permettre aux capitalistes d’accumuler leur argent.	they;capitalists	elles;capitalistes	ils;capitalistes
PLUR;SUBJ;IOBJ;PROF;PERS	They must ask their pediatrician that question.	Elles doivent poser cette question à leur pédiatre.	Elles doivent poser cette question à leur pédiatre.	Ils doivent poser cette question à leur pédiatre.	Ils doivent poser cette question à leur pédiatre.	they;pediatrician	elles;pédiatre	ils;pédiatre
SUBJ;PLUR;PROF;ANAN;IOBJ	They allowed the dancer to present a short piece.	Elles ont permis à la danseuse de présenter une courte pièce.	Elles ont permis au danseur de présenter une courte pièce.	Ils ont permis à la danseuse de présenter une courte pièce.	Ils ont permis au danseur de présenter une courte pièce.	they;dancer	elles;à la [danseuse]	ils;au [danseur]
SUBJ;PLUR;PROF;ANAN;IOBJ;DFCL;PERS	For example, if they request access to a car, it may not be granted to the parking attendant.	Par exemple, si elles demandent l’accès à une voiture, il se peut qu’il ne soit pas donné à la préposée au stationnement.	Par exemple, si elles demandent l’accès à une voiture, il se peut qu’il ne soit pas donné au préposé au stationnement.	Par exemple, s’ils demandent l’accès à une voiture, il se peut qu’il ne soit pas donné à la préposée au stationnement.	Par exemple, s’ils demandent l’accès à une voiture, il se peut qu’il ne soit pas donné au préposé au stationnement.	they;attendant	si elles;à la [préposée]	s’ils;au [préposé]
